bullis_StoneO_StrLit,bullis_StoneO_UpCree,bullis_StoneO_GenCav,bullis_StoneO_Hilger,bullis_StoneO_BunHol,bullis_StoneO_RooCan,bullis_StoneO_281162,bullis_StoneO_ClasFea,bullis_StoneO_EagNes,bullis_StoneO_281167,bullis_StoneO_QuiCap,bullis_StoneO_HEB,neovespera_UTSA_CE2160,baroniaCF_StoneO_GreeMt,baroniaCF_StoneO_TusHei,baronia_AlamoH_OblPit,baronia_AlamoH_Robber
0.000000000000000000e+00,-1.804140461728681311e-01,-2.066240314680617418e-01,-2.100204339722992752e-01,-2.216619358136102114e-01,-2.216619358136102114e-01,-3.005868534921050661e-01,-3.005868534921050661e-01,-3.083908276742886589e-01,-3.272134419940139205e-01,-3.272134419940139205e-01,-3.272131645399802280e-01,-4.336836926212098708e-01,-5.053780536333105644e-01,-5.058113209698312795e-01,-5.398237706162798411e-01,-5.398237706162798411e-01
-1.804140461728681311e-01,0.000000000000000000e+00,-2.066240314680617418e-01,-2.100204339722992752e-01,-2.216619358136102114e-01,-2.216619358136102114e-01,-3.005868534921050661e-01,-3.005868534921050661e-01,-3.083908276742886589e-01,-3.272134419940139205e-01,-3.272134419940139205e-01,-3.272131645399802280e-01,-4.336836926212098708e-01,-5.053780536333105644e-01,-5.058113209698312795e-01,-5.398237706162798411e-01,-5.398237706162798411e-01
-2.066240314680617418e-01,-2.066240314680617418e-01,0.000000000000000000e+00,-2.100194129105324992e-01,-2.216609147518434630e-01,-2.216609147518434630e-01,-3.005858324303383178e-01,-3.005858324303383178e-01,-3.083898066125219106e-01,-3.272124209322471167e-01,-3.272124209322471167e-01,-3.272121434782134797e-01,-4.336826715594431225e-01,-5.053770325715437606e-01,-5.058102999080644757e-01,-5.398227495545130372e-01,-5.398227495545130372e-01
-2.100204339722992752e-01,-2.100204339722992752e-01,-2.100194129105324992e-01,0.000000000000000000e+00,-2.216604341849048310e-01,-2.216604341849048310e-01,-3.005853518633996857e-01,-3.005853518633996857e-01,-3.083893260455832785e-01,-3.272119403653085401e-01,-3.272119403653085401e-01,-3.272116629112748476e-01,-4.336821909925044904e-01,-5.053765520046051840e-01,-5.058098193411258992e-01,-5.398222689875744607e-01,-5.398222689875744607e-01
-2.216619358136102114e-01,-2.216619358136102114e-01,-2.216609147518434630e-01,-2.216604341849048310e-01,0.000000000000000000e+00,-1.207296861237152213e-01,-3.005850363747036846e-01,-3.005850363747036846e-01,-3.083890105568872775e-01,-3.272116248766124835e-01,-3.272116248766124835e-01,-3.272113474225788465e-01,-4.336818755038084894e-01,-5.053762365159091274e-01,-5.058095038524298426e-01,-5.398219534988784041e-01,-5.398219534988784041e-01
-2.216619358136102114e-01,-2.216619358136102114e-01,-2.216609147518434630e-01,-2.216604341849048310e-01,-1.207296861237152213e-01,0.000000000000000000e+00,-3.005850363747036846e-01,-3.005850363747036846e-01,-3.083890105568872775e-01,-3.272116248766124835e-01,-3.272116248766124835e-01,-3.272113474225788465e-01,-4.336818755038084894e-01,-5.053762365159091274e-01,-5.058095038524298426e-01,-5.398219534988784041e-01,-5.398219534988784041e-01
-3.005868534921050661e-01,-3.005868534921050661e-01,-3.005858324303383178e-01,-3.005853518633996857e-01,-3.005850363747036846e-01,-3.005850363747036846e-01,0.000000000000000000e+00,-2.621887291822107557e-01,-3.083889234714999872e-01,-3.272115377912252487e-01,-3.272115377912252487e-01,-3.272112603371915562e-01,-4.336817884184211991e-01,-5.053761494305218926e-01,-5.058094167670426078e-01,-5.398218664134911693e-01,-5.398218664134911693e-01
-3.005868534921050661e-01,-3.005868534921050661e-01,-3.005858324303383178e-01,-3.005853518633996857e-01,-3.005850363747036846e-01,-3.005850363747036846e-01,-2.621887291822107557e-01,0.000000000000000000e+00,-3.083889234714999872e-01,-3.272115377912252487e-01,-3.272115377912252487e-01,-3.272112603371915562e-01,-4.336817884184211991e-01,-5.053761494305218926e-01,-5.058094167670426078e-01,-5.398218664134911693e-01,-5.398218664134911693e-01
-3.083908276742886589e-01,-3.083908276742886589e-01,-3.083898066125219106e-01,-3.083893260455832785e-01,-3.083890105568872775e-01,-3.083890105568872775e-01,-3.083889234714999872e-01,-3.083889234714999872e-01,0.000000000000000000e+00,-3.272123092583270609e-01,-3.272123092583270609e-01,-3.272120318042933684e-01,-4.336825598855230668e-01,-5.053769208976236493e-01,-5.058101882341444755e-01,-5.398226378805930370e-01,-5.398226378805930370e-01
-3.272134419940139205e-01,-3.272134419940139205e-01,-3.272124209322471167e-01,-3.272119403653085401e-01,-3.272116248766124835e-01,-3.272116248766124835e-01,-3.272115377912252487e-01,-3.272115377912252487e-01,-3.272123092583270609e-01,0.000000000000000000e+00,-1.002616248737108751e-01,-2.299848941755723852e-01,-4.336828817266066283e-01,-5.053772427387072108e-01,-5.058105100752280370e-01,-5.398229597216765985e-01,-5.398229597216765985e-01
-3.272134419940139205e-01,-3.272134419940139205e-01,-3.272124209322471167e-01,-3.272119403653085401e-01,-3.272116248766124835e-01,-3.272116248766124835e-01,-3.272115377912252487e-01,-3.272115377912252487e-01,-3.272123092583270609e-01,-1.002616248737108751e-01,0.000000000000000000e+00,-2.299848941755723852e-01,-4.336828817266066283e-01,-5.053772427387072108e-01,-5.058105100752280370e-01,-5.398229597216765985e-01,-5.398229597216765985e-01
-3.272131645399802280e-01,-3.272131645399802280e-01,-3.272121434782134797e-01,-3.272116629112748476e-01,-3.272113474225788465e-01,-3.272113474225788465e-01,-3.272112603371915562e-01,-3.272112603371915562e-01,-3.272120318042933684e-01,-2.299848941755723852e-01,-2.299848941755723852e-01,0.000000000000000000e+00,-4.336826042725729913e-01,-5.053769652846735738e-01,-5.058102326211944000e-01,-5.398226822676429615e-01,-5.398226822676429615e-01
-4.336836926212098708e-01,-4.336836926212098708e-01,-4.336826715594431225e-01,-4.336821909925044904e-01,-4.336818755038084894e-01,-4.336818755038084894e-01,-4.336817884184211991e-01,-4.336817884184211991e-01,-4.336825598855230668e-01,-4.336828817266066283e-01,-4.336828817266066283e-01,-4.336826042725729913e-01,0.000000000000000000e+00,-4.770898581056680632e-01,-4.775231254421887783e-01,-5.115355750886373398e-01,-5.115355750886373398e-01
-5.053780536333105644e-01,-5.053780536333105644e-01,-5.053770325715437606e-01,-5.053765520046051840e-01,-5.053762365159091274e-01,-5.053762365159091274e-01,-5.053761494305218926e-01,-5.053761494305218926e-01,-5.053769208976236493e-01,-5.053772427387072108e-01,-5.053772427387072108e-01,-5.053769652846735738e-01,-4.770898581056680632e-01,0.000000000000000000e+00,-1.647870675557521758e-01,-3.844472636576467539e-01,-3.844472636576467539e-01
-5.058113209698312795e-01,-5.058113209698312795e-01,-5.058102999080644757e-01,-5.058098193411258992e-01,-5.058095038524298426e-01,-5.058095038524298426e-01,-5.058094167670426078e-01,-5.058094167670426078e-01,-5.058101882341444755e-01,-5.058105100752280370e-01,-5.058105100752280370e-01,-5.058102326211944000e-01,-4.775231254421887783e-01,-1.647870675557521758e-01,0.000000000000000000e+00,-3.848805309941675246e-01,-3.848805309941675246e-01
-5.398237706162798411e-01,-5.398237706162798411e-01,-5.398227495545130372e-01,-5.398222689875744607e-01,-5.398219534988784041e-01,-5.398219534988784041e-01,-5.398218664134911693e-01,-5.398218664134911693e-01,-5.398226378805930370e-01,-5.398229597216765985e-01,-5.398229597216765985e-01,-5.398226822676429615e-01,-5.115355750886373398e-01,-3.844472636576467539e-01,-3.848805309941675246e-01,0.000000000000000000e+00,-8.155857419779333206e-02
-5.398237706162798411e-01,-5.398237706162798411e-01,-5.398227495545130372e-01,-5.398222689875744607e-01,-5.398219534988784041e-01,-5.398219534988784041e-01,-5.398218664134911693e-01,-5.398218664134911693e-01,-5.398226378805930370e-01,-5.398229597216765985e-01,-5.398229597216765985e-01,-5.398226822676429615e-01,-5.115355750886373398e-01,-3.844472636576467539e-01,-3.848805309941675246e-01,-8.155857419779333206e-02,0.000000000000000000e+00
